Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,760,730,1029.999971,1220.000029,1029.999971,1549.999952,1759.99999,1769.999981,3559.999943,4880.000114,7110.000134,8930.000305,8079.999924,5989.999771,4880.000114,5949.999809,5300.000191,4780.00021,6070.000172,6079.999924
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,3170,3230,3759.99999,4070.000172,4250,4030.00021,4010.000229,4139.999866,4079.999924,4219.99979,4449.999809,4849.999905,4360.000134,4440.000057,4820.000172,4619.999886,4480.000019,5139.999866,5110.000134,4829.999924
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,80050,78650,82400.00153,88190.00244,89489.99786,94190.00244,99809.99756,102750,107750,112169.9982,114180.0003,120790.0009,134929.9927,139020.0043,147740.0055,156270.0043,154910.0037,158339.9963,165539.9933,171250
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,520,520,529.9999714,529.9999714,560.0000024,579.9999833,550.0000119,540.0000215,540.0000215,519.9999809,519.9999809,490.0000095,490.0000095,479.9999893,460.0000083,469.9999988,469.9999988,469.9999988,490.0000095,500
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,16200,15960,15689.99958,16760.00023,17450.00076,15810.00042,16559.99947,16969.99931,19280.00069,21149.99962,22799.99924,23870.00084,23870.00084,26959.99908,29629.99916,31649.99962,29760.00023,24250,23959.99908,25209.99908
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,330,350,389.9999857,409.9999964,400.000006,409.9999964,439.9999976,460.0000083,479.9999893,1389.999986,490.0000095,540.0000215,699.9999881,469.9999988,479.9999893,490.0000095,500,500,509.9999905,519.9999809
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,132270,125260,117470.0012,127660.0037,141380.0049,145990.0055,154899.9939,162809.9976,167229.9957,156570.0073,167220.0012,176639.9994,177960.0067,183250,179600.0061,185550.0031,183160.0037,179320.0073,176899.9939,168100.0061
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,3560,3600,3119.999886,3500,3759.99999,4460.000038,4489.999771,5199.999809,5690.000057,4510.000229,4340.000153,4940.000057,5719.99979,5500,5480.000019,5340.000153,5070.000172,5369.999886,5710.000038,6170.000076
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,339450,345640,353369.9951,352579.9866,365809.9976,370089.9963,375489.9902,385750,388940.0024,395290.0085,387540.0085,386380.0049,386970.0012,380279.9988,371630.0049,377799.9878,384989.9902,389160.0037,387070.0073,386529.9988
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,63530,67910,69370.00275,74459.99908,75800.00305,76239.99786,74099.99847,71239.99786,70730.00336,64419.99817,69959.99908,68269.99664,65110.00061,65750,62049.99924,63240.00168,63680.00031,65860.00061,63060.00137,64769.99664
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,27690,26400,26180.00031,28569.99969,28309.99947,30040.00092,30489.99977,27629.99916,30450.00076,25500,24309.99947,27280.00069,30110.00061,30940.00053,32240.00168,31770.00046,32240.00168,31959.99908,32729.99954,35509.99832
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,2230,2220,2400.000095,2380.000114,2250,2109.999895,2099.999905,2119.999886,2200.000048,6170.000076,2079.999924,2569.999933,3549.999952,2809.999943,2519.999981,2210.000038,2039.999962,2170.000076,2799.999952,2839.999914
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,15880,16390,17219.99931,17940.00053,17930.00031,20690.00053,22489.99977,23000,24760.00023,24719.99931,25969.99931,26020.00046,27170.00008,28850.00038,30280.00069,30579.99992,30299.99924,30520.00046,30809.99947,33259.99832
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,21650,25780,27430.00031,28629.99916,30530.00069,32709.99908,35900.00153,37990.00168,41580.00183,44750,50580.00183,54419.99817,57990.00168,60599.99847,63830.00183,72190.00244,74379.99725,79339.99634,83449.99695,90739.99786
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1240,1310,1370.000005,1379.999995,1360.000014,1419.999957,1470.000029,1480.000019,1779.999971,4619.999886,1549.999952,1759.99999,2119.999886,1440.000057,1269.999981,1269.999981,1289.999962,1179.999948,1240.00001,1250
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,52940,51880,51840.00015,52700.00076,56040.00092,56779.99878,59119.99893,57650.00153,60529.99878,57400.00153,61669.99817,58549.99924,59939.99863,59990.00168,59500,54819.99969,55139.99939,56009.99832,58950.00076,57669.99817
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,117270,118340,110849.9985,115500,114019.9966,110610.0006,108650.0015,104589.9963,106930.0003,99669.99817,106720.0012,96480.00336,95269.99664,96589.99634,90139.99939,95129.99725,94220.00122,92720.00122,93660.00366,93010.00214
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,450,530,519.9999809,509.9999905,439.9999976,469.9999988,509.9999905,529.9999714,500,1460.000038,560.0000024,670.0000167,670.0000167,460.0000083,479.9999893,680.0000072,649.9999762,639.9999857,629.9999952,639.9999857
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,1420,1740,2180.000067,2440.000057,2650.000095,2900.000095,3470.000029,4000,4019.999981,4420.000076,4829.999924,4650.000095,4440.000057,4679.999828,5190.000057,5510.000229,6739.999771,6869.999886,7420.000076,7300.000191
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,210,230,239.9999946,259.9999905,289.9999917,319.9999928,319.9999928,319.9999928,300.0000119,319.9999928,400.000006,589.9999738,639.9999857,670.0000167,699.9999881,769.9999809,930.0000072,970.0000286,1049.999952,1049.999952
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,8210,8050,8300.000191,9079.999924,9489.999771,10050.00019,11229.99954,12079.99992,13109.99966,14000,15170.00008,16610.00061,17420.00008,18739.99977,20409.99985,20760.00023,22010.00023,22750,23229.99954,22340.00015
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,13960,13760,14560.00042,14869.99989,15569.99969,16229.99954,17909.99985,18889.99939,20760.00023,20590.00015,20840.00015,23739.99977,21959.99908,21850.00038,19489.99977,19620.00084,22340.00015,22680.00031,22600.00038,21069.99969
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,4030,3870,4030.00021,3920.000076,3970.000029,4280.00021,4090.000153,4320.000172,4389.999866,4190.000057,3369.999886,3880.000114,3410.000086,5420.000076,6989.999771,6949.999809,6630.000114,7329.999924,7309.999943,7250
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,313670,319380,317760.0098,310809.9976,328519.989,331690.0024,335619.9951,352559.9976,373630.0049,350000,397929.9927,418309.9976,454230.011,486839.9963,511619.9951,485339.9963,447079.9866,456489.9902,433989.9902,434299.9878
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,4720,4710,4619.999886,5519.999981,5099.999905,4989.999771,7519.999981,7139.999866,7909.999847,7869.999886,7170.000076,7329.999924,7300.000191,7210.000038,7079.999924,6400.000095,6969.99979,7289.999962,7539.999962,6989.999771
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,43420,46190,43599.99847,47930.00031,47270.00046,47990.00168,48950.00076,52599.99847,50040.00092,42909.99985,44740.00168,49639.99939,45020.00046,39659.99985,42049.99924,44560.00137,41590.00015,43880.00107,40900.00153,39139.99939
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,940,970,959.9999785,1039.999962,1059.999943,1059.999943,1240.00001,1409.999967,1700.000048,1730.000019,2289.999962,2460.000038,2940.000057,3130.000114,3180.000067,3700.000048,3700.000048,4269.999981,4670.000076,5000
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,260,200,209.9999934,159.9999964,150.000006,150.000006,180.0000072,180.0000072,180.0000072,180.0000072,300.0000119,360.0000143,370.0000048,389.9999857,379.9999952,400.000006,439.9999976,529.9999714,689.9999976,720.0000286
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,220,240,280.0000012,310.0000024,330.0000131,439.9999976,500,460.0000083,479.9999893,509.9999905,540.0000215,569.9999928,529.9999714,509.9999905,500,500,550.0000119,589.9999738,610.0000143,649.9999762
Cambodia,KHM,CO2 emissions (kt),EN.ATM.CO2E.KT,1960,2150,2210.000038,2380.000114,2380.000114,2660.000086,2960.000038,3660.000086,4059.999943,4750,5139.999866,5360.000134,5670.000076,5739.999771,6949.999809,8430.000305,11069.99969,12689.99958,14579.99992,16180.00031
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,5210,5160,5130.000114,5210.000038,5119.999886,5019.999981,5090.000153,6130.000114,6389.999866,7030.00021,7010.000229,6809.999943,6880.000114,7550.000191,8250,8460.000038,9079.999924,9170.000076,9590.000153,9430.000305
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,514220,506620,524349.9756,544539.978,536419.9829,549030.0293,540530.0293,571630.0049,550469.9707,521320.0073,537010.0098,549289.978,546210.022,555659.9731,561679.9927,558700.0122,556830.0171,568080.0171,580090.0269,580210.022
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,240,250,250,230.0000042,230.0000042,219.9999988,230.0000042,239.9999946,170.0000018,170.0000018,170.0000018,189.9999976,200.000003,119.9999973,129.9999952,189.9999976,209.9999934,219.9999988,230.0000042,239.9999946
Chad,TCD,CO2 emissions (kt),EN.ATM.CO2E.KT,290,340,400.000006,449.9999881,449.9999881,479.9999893,509.9999905,500,540.0000215,790.0000215,1240.00001,1100.000024,1860.000014,2190.000057,2259.99999,2390.000105,2210.000038,2150.000095,2190.000057,2250
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,50420,48430,49119.99893,50200.00076,54970.00122,55970.00122,57150.00153,64569.99969,67989.99786,65449.99695,69750,76470.00122,78410.00366,83000,76559.99756,82230.00336,86489.99786,87069.99969,86610.00061,91370.00275
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,3346530,3529080,3810060.059,4415910.156,5124819.824,5824629.883,6437470.215,6993180.176,7199600.098,7719069.824,8474919.922,9282549.805,9541870.117,9984570.313,10006669.92,9861099.609,9874660.156,10096009.77,10502929.69,10707219.73
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,58340,58940,56770.00046,56110.00061,56110.00061,57639.99939,57689.99863,59180.00031,59779.99878,62009.99832,63560.00137,69099.99847,69699.99695,76860.00061,79199.99695,80230.00336,82680.00031,74989.99786,78589.99634,81040.00092
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,100,110,109.9999994,140.0000006,150.000006,150.000006,170.0000018,109.9999994,109.9999994,140.0000006,170.0000018,150.000006,159.9999964,189.9999976,170.0000018,189.9999976,219.9999988,280.0000012,300.0000119,319.9999928
"Congo, Dem. Rep.",COD,CO2 emissions (kt),EN.ATM.CO2E.KT,1630,1570,1649.999976,2000,1940.000057,2210.000038,2279.999971,2470.000029,2549.999952,2500,2650.000095,3019.999981,2829.999924,3960.000038,5139.999866,3230.000019,2420.000076,2849.999905,3119.999886,3210.000038
"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,4350,4240,2759.99999,3230.000019,3519.999981,4309.999943,4780.00021,4150.000095,4360.000134,4840.000153,5420.000076,5380.000114,5260.000229,5329.999924,5190.000057,5659.999847,5500,5409.999847,6489.999771,7260.000229
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,4950,5420,5519.999981,5800.000191,5940.000057,6269.999981,6559.999943,7599.999905,7519.999981,7199.999809,7110.000134,7429.999828,7449.999809,7780.00021,7829.999924,7539.999962,8079.999924,8260.000229,8369.999886,8239.999771
Cote d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,6490,6490,6840.000153,5309.999943,5469.99979,5880.000114,5699.999809,5659.999847,6469.99979,6030.00021,6349.999905,6119.999886,8039.999962,8689.99958,9199.999809,9810.00042,9590.000153,10560.00042,10189.99958,10829.99992
Croatia,HRV,CO2 emissions (kt),EN.ATM.CO2E.KT,18040,19200,20280.00069,21610.00061,21100.00038,21450.00076,21610.00061,22879.99916,21729.99954,20309.99947,19459.99908,19030.00069,17409.99985,17010.00023,16239.99977,16600.00038,16879.99916,17409.99985,16430.00031,16520.00046
Cuba,CUB,CO2 emissions (kt),EN.ATM.CO2E.KT,28350,27470,26420.00008,25629.99916,25360.00061,26319.99969,26780.00069,27680.00031,26750,26979.99954,28110.00061,27590.00015,28690.00053,28870.00084,26690.00053,29209.99908,27170.00008,26239.99977,26709.99908,25909.99985
Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,7130,6990,7170.000076,7829.999924,7780.00021,7900.000095,8000,8310.00042,8489.999771,8279.999733,7900.000095,7630.000114,7099.999905,6429.999828,6809.999943,6849.999905,7219.99979,7360.000134,7199.999809,7190.000057
Czechia,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,123170,122720,118529.9988,122769.9966,123440.0024,119989.9979,120599.9985,123620.0027,118309.9976,111169.9982,112250,109169.9982,106069.9997,101150.0015,97510.00214,99139.99939,101730.0034,101830.0018,100900.0015,96290.00092
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,52600,54250,53840.00015,59229.99954,53729.99954,50200.00076,58130.00107,53409.99985,50130.00107,47930.00031,48119.99893,43099.99847,38220.00122,39959.99908,35819.99969,33700.00076,35319.99969,33130.00107,33130.00107,29700.00076
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,370,380,400.000006,409.9999964,400.000006,430.0000072,430.0000072,469.9999988,469.9999988,469.9999988,519.9999809,479.9999893,500,560.0000024,400.000006,460.0000083,419.9999869,419.9999869,400.000006,419.9999869
Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,130,150,119.9999973,140.0000006,159.9999964,159.9999964,170.0000018,180.0000072,180.0000072,500,180.0000072,180.0000072,250,170.0000018,180.0000072,180.0000072,180.0000072,170.0000018,170.0000018,170.0000018
Dominican Republic,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,18670,18980,20879.99916,18729.99954,17280.00069,18690.00053,20370.00084,20629.99916,20579.99992,19659.99985,20680.00031,20909.99985,21680.00031,21290.00092,21450.00076,23590.00015,24590.00015,23549.99924,25309.99947,27229.99954
Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,22050,24250,24170.00008,24659.99985,26180.00031,28219.99931,30129.99916,30639.99939,31690.00053,34500,37250,37099.99847,37090.00015,39700.00076,41799.99924,41520.00046,39810.00137,38549.99924,40139.99939,39290.00092
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,114610,126700,129440.0024,133020.0043,144500,162220.0012,170750,183399.9939,189940.0024,197660.0037,200309.9976,205770.0043,215000,213860.0006,219119.9951,226279.9988,231229.9957,242229.9957,247910.0037,249369.9951
El Salvador,SLV,CO2 emissions (kt),EN.ATM.CO2E.KT,5630,5870,5940.000057,6510.000229,6679.999828,6840.000153,7239.999771,7630.000114,6909.999847,6679.999828,6539.999962,6780.00021,6769.999981,6460.000038,6590.000153,7000,7170.000076,6380.000114,6809.999943,7800.000191
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,2220,3400,4630.000114,5010.000229,6199.999809,8319.999695,9369.999886,8539.999962,9779.999733,9710.000038,9949.999809,9989.999771,9819.999695,9180.000305,7909.999847,6570.000172,6659.999847,5800.000191,6429.999828,5349.999905
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,640,700,680.0000072,689.9999976,680.0000072,600.0000238,519.9999809,509.9999905,449.9999881,469.9999988,500,569.9999928,620.0000048,639.9999857,649.9999762,649.9999762,660.0000262,720.0000286,850.0000238,879.9999952
